province_id,province_name,protected_share,mean_seismic_hazard,max_seismic_hazard,water_density_km_per_km2,dist_airport_km,road_density_km_per_km2,power_availability_mw,renewable_availability_mw,mean_ruggedness,mean_tavg,mean_srad,broadband_ftth,broadband_100,broadband_5g,crime_per_100k
ES423,Cuenca,0.063991865101301,0.02553729326407749,0.03630883,0.12793198353606447,133.05924495718426,0.09303486928767689,6261.772108842089,3450.5984534500412,100862.609375,12.577658653259277,15967.419921875,0.8722420433880337,0.8722420433880337,0.385460828271955,3436.7318625307257
ES424,Guadalajara,0.19097821210498306,0.020901327470053195,0.034377374,0.14958377073937723,88.60167039151986,0.10610134555439926,6261.035237383697,3435.77646286052,125019.2578125,11.240139961242676,15412.1708984375,0.8802484791227058,0.8866603813823348,0.5734996543118192,4364.906621755668
ES425,Toledo,0.009624347593430851,0.015061116499514233,0.0311537,0.10258864553043236,89.59866353188147,0.09182290247471107,6224.661094181528,3432.4766494460714,74843.484375,14.542999267578125,16283.1435546875,0.9543044197196656,0.9567478252414708,0.43194317709363383,4518.142180299384
ES431,Badajoz,0.3391040232250658,0.03141938545959911,0.058389194,0.14696717737318404,260.57126520948015,0.10025735593695789,4664.847162223182,1388.1355324694048,76778.765625,15.772208213806152,16946.7421875,0.8768224670411002,0.8768224670411002,0.4424214760198709,3516.9562167788367
ES432,Cáceres,0.4896280108800795,0.03123608536384173,0.05618635,0.17392091450742084,236.51274794289643,0.0991105802197161,4596.402502703732,1370.8061123489222,122941.71875,15.14732551574707,16571.734375,0.8288280512259357,0.8338487145268496,0.422248233148113,2897.6796378222903
ES511,Barcelona,0.30541537741736197,0.03525489478744112,0.049442332,0.2546400319761921,48.400496527693456,0.10462514679229512,7975.905,393.181,177260.125,12.99714469909668,15010.818359375,0.9863322144840753,0.986731723667006,0.6167189144010675,6609.206873092731
ES512,Girona,0.44344123023675847,0.04140669952064234,0.056991957,0.22141428198039442,104.5403265790386,0.12174011011844361,7880.357986511148,390.2174536438458,211973.359375,12.463340759277344,14686.5615234375,0.8556446213291777,0.8556446213291777,0.6021089918883109,6123.758825084004
ES513,Lleida,0.4376426110300476,0.041219831958304864,0.07454836,0.14390627120298516,119.44270428854267,0.0994586684687571,7927.002554743344,403.12085105038733,292346.84375,10.549103736877441,15126.1826171875,0.8546875702275553,0.8548810845376171,0.43892903182444903,5084.283551016879
ES514,Tarragona,0.39860045987519716,0.029295068173663345,0.03397644,0.14299664206354887,108.71825920771624,0.13810342253863986,7949.380293642921,409.82234916590335,151026.78125,14.532200813293457,15403.287109375,0.8553886215354937,0.8559988604125417,0.526584594445783,5591.621384587543
ES521,Alicante/Alacant,0.14392055789259356,0.11228143107339764,0.18433535,0.08719405960105471,22.190170384217886,0.1162646729164509,7539.363016605898,924.4418679818124,168507.03125,15.563028335571289,16402.16015625,0.8798283620567298,0.8881861650174901,0.45132858889703814,5247.208275579858
ES522,Castellón/Castelló,0.08936035589406724,0.034032552197829295,0.04315181,0.1470922708690241,87.29633594698144,0.14151891597099583,7554.526328393592,924.0538023760029,176977.359375,13.5308837890625,15768.7724609375,0.883867689337727,0.8885437860714834,0.55235313787467,4678.033841579815
ES523,Valencia/València,0.12181639019785831,0.05902632025302947,0.10122808,0.1364026131078243,30.764988578323496,0.11106132248104036,7552.93275701769,946.2707445021297,133039.15625,14.75747299194336,16093.8251953125,0.9276152312420111,0.9346339503420407,0.6634167796809015,5534.859262129473
ES611,Almería,0.46069386625124187,0.1724872462153565,0.2517856,0.04272205853182448,38.75383657908037,0.08428922765677138,12572.173657905787,3091.841228061033,357688.4375,14.765949249267578,17106.046875,0.8633268298910922,0.8663879792595951,0.5748489030587995,4478.066439243492
ES612,Cádiz,0.6492681296415868,0.09777186775368397,0.1343913,0.17115149701926147,57.74156030138148,0.11278183010906058,12620.462,3104.547,256907.265625,17.114301681518555,17551.1328125,0.9065921030530826,0.929440820381856,0.5431016721372156,4523.1134290806995
ES613,Córdoba,0.36492431183586255,0.057152730646781315,0.13943633,0.17934693772000268,209.96360935596206,0.0822879049414155,12548.839641745402,3098.8817669719188,168583.984375,16.063243865966797,16823.755859375,0.8981286392562458,0.8998688390860622,0.4950925871751882,4033.8571341726047
ES614,Granada,0.4287898961440561,0.14781272247073213,0.17794693,0.13430831336335075,94.69234280209288,0.09054961758850139,12606.928481016617,3103.5399044806836,378601.28125,13.35999870300293,17062.80078125,0.8887769112838232,0.8948262831594463,0.4122361238107777,4354.8910585543645
